"MATRICOLA","CODICE","ESAME","DATA","VOTO","TIPO"
1892129,"0100115","GEOMETRIA II","11/03/1996",27,"Superato"
1892129,"0100125","ISTITUZIONI DI GEOMETRIA SUPERIORE","16/10/1999",30,"Superato"
1892129,"0100135","LOGICA MATEMATICA","03/10/1996",30,"Superato"
1892129,"0100136","MATEMATICHE COMPLEMENTARI","20/02/1998",30,"Superato"
1892129,"0100140","MECCANICA RAZIONALE","25/09/1997",25,"Superato"
1892129,"0100176","TEORIA DELLE FUNZIONI","27/09/2000",25,"Superato"
1892129,"0100214","STORIA DELLE MATEMATICHE","29/06/1998",28,"Superato"
1892129,"0520110","MATEMATICA PER LE APPL.ECONOMICHE E FINANZIARIE","14/01/2000",28,"Superato"
1918882,"0100001","ALGEBRA","07/02/1994",21,"Superato"
1918882,"0100004","ANALISI MATEMATICA I","14/07/1993",22,"Superato"
1918882,"0100006","ANALISI MATEMATICA II","15/06/1994",21,"Superato"
1918882,"0100011","APPLICAZIONI DI MATEMATICHE SUPERIORI","03/02/1998",27,"Superato"
1918882,"0100021","CALCOLI NUMERICI E GRAFICI","15/07/1996",27,"Superato"
1918882,"0100084","FISICA GENERALE I","28/04/1995",22,"Superato"
1918882,"0100085","FISICA GENERALE II","06/03/1996",30,"Superato"
1918882,"0100114","GEOMETRIA I","22/02/1994",23,"Superato"
1918882,"0100115","GEOMETRIA II","18/10/1995",25,"Superato"
1918882,"0100135","LOGICA MATEMATICA","07/02/1996",30,"Superato"
1918882,"0100140","MECCANICA RAZIONALE","19/02/1997",27,"Superato"
1918882,"0100171","STATISTICA MATEMATICA","26/06/1998",31,"Superato"
1918882,"0100175","TEORIA E APPLICAZ.MACCHINE CALCOLATRICI","30/09/1997",26,"Superato"
1918882,"0100242","ANALISI NUMERICA","24/02/1999",30,"Superato"
1918882,"0100409","LINGUAGGI PROGRAMMATIVI","16/12/1999",30,"Superato"
1920116,"0100001","ALGEBRA","03/11/1993",24,"Superato"
1920116,"0100004","ANALISI MATEMATICA I","17/06/1993",21,"Superato"
1920116,"0100006","ANALISI MATEMATICA II","13/10/1994",23,"Superato"
1920116,"0100011","APPLICAZIONI DI MATEMATICHE SUPERIORI","05/06/1998",25,"Superato"
1920116,"0100021","CALCOLI NUMERICI E GRAFICI","22/11/1995",27,"Superato"
1920116,"0100084","FISICA GENERALE I","03/03/1994",25,"Superato"
1920116,"0100085","FISICA GENERALE II","13/11/1996",27,"Superato"
1920116,"0100114","GEOMETRIA I","05/10/1993",24,"Superato"
1920116,"0100115","GEOMETRIA II","07/02/1995",21,"Superato"
1920116,"0100135","LOGICA MATEMATICA","14/06/1995",30,"Superato"
1920116,"0100140","MECCANICA RAZIONALE","11/02/1999",25,"Superato"
1920116,"0100171","STATISTICA MATEMATICA","02/12/1999",29,"Superato"
1920116,"0100175","TEORIA E APPLICAZ.MACCHINE CALCOLATRICI","17/06/1996",26,"Superato"
1920116,"0100242","ANALISI NUMERICA","08/10/1997",24,"Superato"
1920116,"0100409","LINGUAGGI PROGRAMMATIVI","02/07/1999",27,"Superato"
1923241,"0100001","ALGEBRA","29/10/1993",25,"Superato"
1923241,"0100004","ANALISI MATEMATICA I","18/06/1993",22,"Superato"
1923241,"0100006","ANALISI MATEMATICA II","21/06/1994",19,"Superato"
1923241,"0100011","APPLICAZIONI DI MATEMATICHE SUPERIORI","16/01/1997",22,"Superato"
1923241,"0100021","CALCOLI NUMERICI E GRAFICI","22/11/1995",25,"Superato"
1923241,"0100084","FISICA GENERALE I","03/03/1994",25,"Superato"
1923241,"0100085","FISICA GENERALE II","15/02/1995",27,"Superato"
1923241,"0100114","GEOMETRIA I","13/07/1993",23,"Superato"
1923241,"0100115","GEOMETRIA II","16/11/1994",18,"Superato"
1923241,"0100135","LOGICA MATEMATICA","14/06/1995",30,"Superato"
