sesso,prov,comune,istituto,tipo,annomat,votomat,score,idtest
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,74,12.5,28
M,51,26,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,60,12.5,28
M,47,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,15.25,28
F,47,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,84,16.5,28
M,47,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,65,18.5,28
F,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,80,13.25,28
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,87,18.25,28
F,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2011,78,11.75,28
F,47,9,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,16,28
F,71,9,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,8,28
M,48,30,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,93,15.25,28
M,48,10,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,82,12.75,28
M,48,24,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,78,18.75,28
M,48,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,85,11.75,28
F,51,26,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,97,10,28
M,47,6,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,70,15.25,28
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,74,14.25,28
F,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,80,13.75,28
M,48,41,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,82,12,28
F,48,35,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2000,61,9.5,28
M,53,11,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,85,7.25,28
F,53,11,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,84,11,28
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,78,8.75,28
M,53,9,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,65,11.25,28
M,48,50,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,72,11.5,28
M,48,16,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,78,14.25,28
M,51,34,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,73,13.75,28
M,47,10,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,78,13.25,28
F,51,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,95,11,28
